Compound_Name,CAS_Number,Flavor_Description,Source
citronellal,106-23-0,fat,Flavornet
2-nonenal,2463-53-8,paper,Flavornet
nonanol,143-08-8,"fat, green",Flavornet
"2,6-nonadienal",557-48-2,"cucumber, wax, green",Flavornet
acetylmethylcyclohexene,70286-20-3,spice,Flavornet
homofuraneol,27538-10-9,caramel,Flavornet
diethylmethylpyrazine,18138-05-1,baked,Flavornet
4-pentenyl isothiocyanate,18060-79-2,"mustard, horseradish",Flavornet
benzyl acetate,140-11-4,"fresh, boiled vegetable",Flavornet
diethylmethyl pyrazine,18138-04-0,"potato, meat, roast",Flavornet
methyldithiofurane,65505-17-1,"thiamin, meat",Flavornet
methyl-(methyldithio)furan,65505-17-1,"cooked meat, thiamin",Flavornet
diethyl succinate,123-25-1,"wine, fruit",Flavornet
"2,6-nonadienol",7786-44-9,cucumber,Flavornet
nonadienol,28069-72-9,cucumber,Flavornet
cis-isocitral,72203-97-5,green,Flavornet
camphene hydrate,465-31-6,camphor,Flavornet
pinocarveol,4955-29-7,flower,Flavornet
ethylphenol,620-17-7,must,Flavornet
l-menthol,2216-51-5,peppermint,Flavornet
ethylbenzaldehyde,4748-78-1,sweet,Flavornet
isoborneol,124-76-5,"must, camphor",Flavornet
butylmethoxypyrazine,24168-70-5,"carrot, earth",Flavornet
phenylethylthiol,4410-99-5,rubber,Flavornet
(epoxymethylbutyl)-methylfuran,92356-06-4,"green, earth, citrus",Flavornet
(Z)-3-hexenyl butanoate,16491-36-4,"wine, green",Flavornet
ethenyl-ethylmethylpyrazine,181589-32-2,earth,Flavornet
S-(2-furfuryl)-ethanethioate,13678-68-7,roast,Flavornet
epoxy-2-octenal,134452-45-2,metal,Flavornet
methylisoborneol,2371-42-8,"earth, must",Flavornet
dimethyloctadienal,72203-98-6,green,Flavornet
hexyl butanoate,2639-63-6,apple peel,Flavornet
ethyl benzoate,93-89-0,"camomile, flower, celery, fruit",Flavornet
lavandulol,498-16-8,herb,Flavornet
dill ether,74410-10-9,dill,Flavornet
2-nonanol,628-99-9,cucumber,Flavornet
(Z)-3-hexenyl-2-methylbutanoate,53398-85-9,"herb, sweet",Flavornet
4-acetyltoluene,122-00-9,bitter almond,Flavornet
pentylpyridine,2294-76-0,fat,Flavornet
isobutylmethoxypyrazine,24683-00-9,"earth, spice, green pepper",Flavornet
butyl hexanoate,626-82-4,fruit,Flavornet
o-cresol,95-48-7,phenol,Flavornet
abhexone,698-10-2,spice,Flavornet
nitro-phenylethane,6125-24-2,"flower, spice",Flavornet
dihydrocarveol,619-01-2,"mint, spice",Flavornet
(Z)-dihydrocarvone,3792-53-8,"herb, warm",Flavornet
"(E,Z)-2,4-nonadienal",21661-99-4,"geranium, pungent",Flavornet
carveol,99-48-9,"fresh, spearmint, caraway",Flavornet
borneol,507-70-0,camphor,Flavornet
ethyl octanoate,106-32-1,"fruit, fat",Flavornet
1-terpinen-4-ol,562-74-3,"turpentine, nutmeg, must",Flavornet
neoisomenthol,491-02-1,menthol,Flavornet
(Z)-4-decenal,21662-09-9,"green, must",Flavornet
