Compound_Name,CAS_Number,Odor_Description,RI_OV101,RI_DB5,RI_OV17,RI_C20M
3-octen-2-one,1669-44-9,"nut, crushed bug",1023,1040,1131,1388
furaneol™,3658-77-3,caramel,1023,1064,1235,2043
methyl octanoate,111-11-5,orange,1024,1041,1132,1389
acetophenone,98-86-2,"must, flower, almond",1024,1041,1208,1645
p-cymene,99-87-6,"solvent, gasoline, citrus",1025,1027,1076,1261
"(Z)-ocimene,",3338-55-4,"citrus, herb, flower",1026,1043,1134,1245
isobutyl thiazole,18640-74-9,"tomato leaf, green",1026,1043,1134,1391
4-mercapto-4-methyl-2-pentanone,19872-52-7,box tree,1026,1043,1134,1391
butyl methylbutyrate,15706-73-7,"fruit, cocoa",1027,1043,1134,1391
norfuraneol,19322-27-1,caramel,1027,1044,1263,2113
2-acetylpyrrole,1072-83-9,"nut, walnut, bread",1028,1045,1136,1393
methylethyl pyrazine,15707-23-0,roast,1030,1047,1138,1395
methyl-thiophenethiol,2527-76-6,medicine,1030,1047,1138,1395
2-octenal,2548-87-0,"green, nut, fat",1031,1060,1168,1345
5-isopropyl-2-methylpyrazine,13925-05-8,sweat,1031,1048,1139,1396
2-octenal,20664-46-4,"green leaf, walnut",1032,1049,1151,1320
dimethylmethoxyfuranone,4077-47-8,"caramel, sweet, mildew",1032,1049,1323,1580
β-phellandrene,555-10-2,"mint, terpentine",1035,1053,1059,1209
ocimene,27400-71-1,herb,1035,1052,968,1225
dihydrolinalool,18479-49-7,"wood, citrus, camphor",1035,1052,1192,1449
6(10)-dihydromyrcenol,18479-58-8,"tart lime, citrus, cologne",1036,1053,1216,1473
dimethylheptenal,106-72-9,"fruit, green, melon",1039,1056,1147,1404
α-ocimene,502-99-8,"fruit, wet cloth",1039,1056,1147,1404
(E)-β-ocimene,3779-61-1,"sweet, herb",1043,1038,1129,1242
2-octenal,2363-89-5,green,1043,1060,1151,1408
artemisia ketone,546-49-6,"green, herb",1045,1062,1153,1410
"2-methoxy-3,6-dimethylpyrazine",19846-22-1,earth,1048,1065,1156,1413
"p, a -dimethylstyrol",27576-03-0,gasoline,1052,1069,1160,1432
